,name,salary,addr,time,limit,company,type,vip,page
232,IOS开发工程师,9k-18k,福田区,2018-07-10 13:21:42,大专、3-5年,上海舟恩信息技术有限公司,不需要融资、移动互联网,"交通便利,晋升空间大,团队氛围好",21
233,IOS 工程师,11k-13k,南山区,2018-07-10 13:01:00,本科、1-3年,博博熊科技教育有限公司,未融资、O2O,"五险一金,全勤奖,双休",21
234,IOS开发工程师,13k-15k,福田区,2018-07-10 12:36:50,大专、3-5年,深圳市百讯科技有限公司,A轮、其他,"待遇好,有发展前景",21
235,ios开发工程师,15k-30k,罗湖区,2018-07-10 12:06:16,大专、1年以下,深圳博金派网络科技有限公司,C轮、金融,有发展,21
236,iOS,3k-6k,福田区,2018-07-10 11:59:28,本科、应届毕业生,深圳大管加软件与技术服务有限公司,天使轮、企业服务,五险一金，员工持股，环境优越，团队优秀,21
237,ios中级开发工程师,13k-18k,南山区,2018-07-10 11:34:06,本科、1-3年,深圳闪回科技有限公司,"B轮、O2O,电子商务","弹性工作,发展快,大牛多",21
238,iOS/Android高级研发工程师,15k-30k,南山区,2018-07-10 11:22:16,本科、3-5年,深圳市即构科技有限公司,"A轮、移动互联网,企业服务",有吸引力的薪酬体系，巨大的个人发展空间,21
239,IOS开发工程师,12k-15k,南山区,2018-07-10 11:17:38,本科、3-5年,云易恒基科技（深圳）有限公司,不需要融资、移动互联网,"多线程,iOS,API",21
240,iOS高级研发工程师,13k-26k,南山区,2018-07-10 11:21:31,本科、3-5年,深圳市即构科技有限公司,"A轮、移动互联网,企业服务",技术氛围好,22
241,IOS开发工程师（商城）,13k-19k,南山区,2018-07-10 11:17:37,大专、3-5年,云易恒基科技（深圳）有限公司,不需要融资、移动互联网,周末双休,22
242,ios高级开发工程师,19K-20K,宝安区,2018-07-10 11:14:52,本科、1-3年,深圳万纵联信息科技有限公司,"未融资、移动互联网,教育",创业公司，人脸识别，语音识别，区块链,22
243,iOS开发工程师,8k-16k,南山区,2018-07-10 11:05:22,本科、1-3年,深圳悦智网络科技有限公司,天使轮、移动互联网,"成长空间大,想象空间大",22
244,iOS,10k-20k,南山区,2018-07-10 10:48:43,本科、1-3年,深圳市萨克森计算机有限公司,"未融资、移动互联网,社交网络","14薪,餐补,旅游,体检",22
245,iOS资深开发工程师,15k-30k,福田区,2018-07-10 10:46:30,本科、3-5年,长城证券股份有限公司,未融资、金融,"金融科技,软件开发",22
246,高级IOS开发工程师,18k-30k,南山区,2018-07-10 10:30:43,本科、3-5年,厦门美图之家科技有限公司,"上市公司、移动互联网,硬件","高成长,多福利,多年终",22
247,iOS软件工程师,10k-15k,宝安区,2018-07-10 10:10:41,大专、3-5年,深圳勇艺达机器人有限公司,"不需要融资、硬件,数据服务","IOS,UI开发",22
248,IOS开发工程师（深圳）,7k-14k,福田区,2018-07-10 10:03:50,本科、1-3年,北京沐融信息科技有限公司,"C轮、移动互联网,金融","个人发展,公司前景",22
249,iOS,15k-25k,南山区,2018-07-10 10:02:10,本科、3-5年,深圳欧德蒙科技有限公司,"A轮、移动互联网,企业服务","福利好,待遇优,项目好,团队牛",22
250,iOS开发工程师,10k-18k,南山区,2018-07-10 09:56:29,本科、3-5年,深圳即拓互动科技有限公司,"不需要融资、移动互联网,游戏","行业前景好,领导授权,团队靠谱,锻炼人",22
251,高级iOS工程师,25k-50k,南山区,2018-07-10 09:52:10,本科、3-5年,深圳无觅科技有限公司,"B轮、移动互联网,金融","高速发展,团队优秀,待遇丰厚",22
252,IOS开发工程师,8k-16k,南山区,2018-07-10 09:39:28,大专、1-3年,深圳大鹊科技有限公司,A轮、移动互联网、硬件,"人工智能,大数据,互联网,智能硬件",22
253,IOS应用工程师,8k-15k,龙华新区,2018-07-10 09:33:24,大专、3-5年,深圳市睿迈德科技有限公司,"未融资、电子商务,移动互联网","带薪假期,五险一金,年终奖,员工出国游",22
254,iOS开发工程师,10k-18k,福田区,2018-07-10 09:30:22,本科、1年以下,深圳市桐梦科技有限公司,"不需要融资、金融,文化娱乐","互联网产品,前沿技术",22
255,iOS,8k-15k,南山区,2018-07-10 10:01:24,本科、1-3年,深圳欧德蒙科技有限公司,"A轮、移动互联网,企业服务","有挑战,待遇好,团队强,双休",23
256,IOS android h5,10k-20k,罗湖区,2018-07-10 09:17:15,本科、3-5年,北京通力互联技术服务有限公司,"不需要融资、电子商务,企业服务",5天8小时，双休制，办公环境高大上,23
257,IOS开发工程师,12k-20k,宝安区,2018-07-10 09:15:40,本科、1-3年,深圳市高斯贝尔家居智能电子有限公司,"A轮、文化娱乐,硬件","上市公司,绩效奖金,年度旅游",23
258,IOS开发工程师,8k-15k,罗湖区,2018-07-09 21:14:55,大专、1-3年,深圳市一道网络有限公司,"未融资、文化娱乐,分类信息","绩效奖励,年度体检,带薪年假",23
259,ios高级开发工程师,15k-25k,南山区,2018-07-09 20:37:23,本科、不限,速联（深圳）科技有限公司,"上市公司、电子商务,移动互联网","弹性制,五险一金,团队旅游,年终奖",23
260,IOS开发工程师,10k-20k,南山区,2018-07-09 20:22:23,本科、1-3年,深圳市新国都技术股份有限公司,"上市公司、金融,硬件","上市公司,发展前景好",23
261,iOS开发工程师【西安】,15k-25k,南山区,2018-07-09 19:25:01,大专、3-5年,西安逆袭网络科技有限公司,"A轮、移动互联网,社交网络","弹性工作,扁平管理,五险一金,健身福利",23
262,IOS开发工程师,8k-10k,宝安区,2018-07-09 18:29:17,大专、1-3年,深圳信恩世通电子商务有限公司,A轮、电子商务,"五险一金,周末双休,团队年轻,跨境电商",23
263,iOS应届生实习生,5k-10k,南山区,2018-07-09 18:26:31,不限、应届毕业生,深圳可链科技有限公司,"A轮、移动互联网,数据服务","技术大牛,五险一金,季度出游,大小周",23
264,iOS研发工程师,15k-20k,南山区,2018-07-09 18:26:07,本科、3-5年,深圳新链科技企业（有限合伙）,"未融资、移动互联网,金融","技术大神,五险一金,零食下午茶,季度出游",23
265,IOS开发工程师（2018届）,6k-7k,南山区,2018-07-09 17:28:18,本科、1年以下,深圳市沃特沃德股份有限公司,不需要融资、移动互联网,"五险一金,平台大,晋升机会,扁平管理",23
266,iOS高级开发工程师,20k-30k,南山区,2018-07-09 17:03:45,大专、3-5年,深圳市为爱普信息技术有限公司,"上市公司、移动互联网,其他","福利好,待遇优,产品佳,前景广",23
267,iOS开发工程师,7k-10k,宝安区,2018-07-09 16:47:50,本科、1-3年,深圳中韵科技有限公司,"未融资、移动互联网,社交网络","福利好,弹性工作,五险一金,技术牛人多",23
268,IOS开发工程师,9k-17k,宝安区,2018-07-09 16:44:15,本科、3-5年,深圳拓邦股份有限公司,上市公司、硬件、其他,"平台大,福利好,培训多,氛围佳",23
269,iOS开发工程师,10k-20k,南山区,2018-07-09 16:34:56,本科、1-3年,厦门美图之家科技有限公司,"上市公司、移动互联网,硬件","弹性工作,海外团队,海外市场",23
